speaker_id,movie_id,conversation_id,text,clean_text
u31,m2,L2664,Any chance we can do that again?,
u31,m2,L2653,Okay.  You ready?,
u31,m2,L2653,Ready?,
u31,m2,L2651,You're worried for my safety.  I'm touched.,
u31,m2,L2646,That's unique.,
u31,m2,L2644,So what's unique?,
u31,m2,L2611,"My kids?  Let's see...Susan's 15. Aundrea's 9.  Don't tell me you're thinking about having a kid!  How old are you?  Never mind. Let me just tell you this: Every stupid cliche you hear about kids - they change your life, they make you a better person, they make you whole...  It's all true!  Before I had kids when friends talked about their kids, I wanted to vomit.  Now -- I get it.  Am I right, Leon?",
u31,m2,L2604,"I think you're getting a little moody there, Eddie.",
u31,m2,L2604,Sooner or later that's everybody.,
u31,m2,L2595,Jesus Christ.,
u31,m2,L3278,Wait a minute.  Wait a minute.,
u31,m2,L3278,What?  It doesn't work that way.,
u31,m2,L3278,I'll meet you on one condition - I get exclusivity and you surrender to me.,
u31,m2,L3278,Look asshole.  I've been threatened by better than you.,
u31,m2,L3352,Viewer discretion advised!,
u31,m2,L3271,"I can't talk to anybody right now, can't you see I'm busy!  I can't talk business.  Hang up.  Have a drink.  Get her a whiskey.",
u31,m2,L3271,What are you doing here?,
u31,m2,L3411,If I didn't put it on somebody else would!  I was his friend!,
u31,m2,L3409,"This footage will work in your favor. When the jury sees this - no matter what Cutler tries, they'll convict him.",
u31,m2,L2614,"Paulie, you've got kids, right?",
u31,m2,L2608,In love?  With who?,
u31,m2,L2608,Isn't he a little moody?,
u31,m2,L3262,That morning.  He was talking to me and Leon about marriage.,
u31,m2,L3262,I'm trying to tell you.,
u31,m2,L3262,"Well, he...",
u31,m2,L3262,I know.,
