speaker_id,movie_id,conversation_id,text,clean_text
u78,m5,L5889,I can't pretend to be your husband... David's in great shape.,
u78,m5,L5875,"No, I'm not proud of myself... But we don't have the luxury of choice.",
u78,m5,L5692,You know exactly where they are!,
u78,m5,L5678,The case was stolen?,
u78,m5,L5678,The case..with the stones... Where is it?,
u78,m5,L5673,What're you laughing about?,
u78,m5,L5643,At your service.,
u78,m5,L5643,Appipulai Leeloo Minai..,
u78,m5,L5760,"You are a monster, Zorg!",
u78,m5,L5754,Destroying a glass is one thing..killing people with the weapons you produce is quite another.,
u78,m5,L5751,They are robots!,
u78,m5,L5746,No thank you.,
u78,m5,L5737,"...I'm a priest! I'm here to serve life, All you want to do is destroy it.",
u78,m5,L5737,Even it I did know where the stones were I would never tell somebody like you.,
u78,m5,L5737,...Why on earth do the stones interest you?,
u78,m5,L5737,I remember you now..the so called art dealer.,
u78,m5,L5710,...We're saved!,
u78,m5,L6263,That's what I'm saying.,
u78,m5,L6263,"Yes, of course, but... The Stones are shut! They have to be open for it to work.",
u78,m5,L6258,"Theoretically, yes! The four Stones form the beam and the Fifth Element is supposed to stand in the middle there, but... I don't have the reference book. I've never seen the Stones work!",
u78,m5,L6168,Uh.. Have you tried the Diva's suite?,
u78,m5,L6168,Leeloo's in trouble?,
u78,m5,L6168,You're probably very angry with me and I quite understand. But I want you to know I'm fighting for a noble cause.,
u78,m5,L5839,What are you doing?,
u78,m5,L5826,Of course.,
u78,m5,L5826,We have to save the world.,
u78,m5,L5826,We're not going on vacation..we're on a mission..,
u78,m5,L5826,"I'm sorry to have to resort to such methods, but we heard about your good luck on he radio and we need the tickets to Fhloston.",
u78,m5,L5656,"It means, ""Never without my permission"".",
u78,m5,L5652,"She's fine, really..don't you worry.. just needs some rest..she's had a very long trip.",
u78,m5,L5652,Yes. That's fine! Thank you very much. A thousand times over!,
u78,m5,L5648,Thank you so much for your help Mr...?,
u78,m5,L5648,She's an exception..,
u78,m5,L5624,"Uh yes, we're cousins..distant cousins..",
u78,m5,L5624,"There's not a moment to lose! Wake her up, but be gentle about it!  This woman is mankind's most precious possession! She is... perfect!",
u78,m5,L5624,He's a she!,
u78,m5,L5620,The girl?,
u78,m5,L5620,Who are you?,
u78,m5,L5615,That's me.  But I don't know who she is... where did you find her?,
u78,m5,L5613,Weddings are one floor down. Congratulations.,
u78,m5,L5556,What are we going to do?,
u78,m5,L5521,"Thank you, Mr. President.",
u78,m5,L5515,White turns to black.  Light to Dark. Life to Death.  For all eternity.,
u78,m5,L5511,Yes..thank God..,
u78,m5,L5508,And then it will be too late. The goal of evil is to wipe out life! All forms of life. For all eternity...Life upsets it.,
u78,m5,L5508,"We have forty-eight hours, the time it needs to adapt itself to our living conditions.",
u78,m5,L5468,"Time is of no importance, Mr. President. Only life is important.",
u78,m5,L5463,"Imagine for a moment that this. thing is not anything that can be identified because it prefers not to be, because it is the antithesis of all we are. Because it is evil.. TOTAL EVIL.",
u78,m5,L6251,"Later, David! Later! There's not a minute to lose!",
u78,m5,L5911,It's all my fault.  I'm the servant... It's my mission! Here!,
u78,m5,L5911,Where's Leeloo?,
u78,m5,L5730,"Good work, my son.  Now all we need is a way to get there.",
u78,m5,L5688,Perfect.,
u78,m5,L5686,There was this guy with a limp who came a month ago..said he was an art dealer ... Asking all these questions about the Sacred Stones..at the time I didn't think anything of it.. What was his name? I'm so bad with names...,
u78,m5,L5675,Yes. Of course..,
u78,m5,L5671,"Learning our history! The last 5000 years that she missed! She's been out of circulation a while, you know.",
u78,m5,L5646,Absolutely sure There's the triple suns on her gloves!,
u78,m5,L5636,"The Supreme Being, the fifth element is here, in our parish!!! It's a miracle!!!",
u78,m5,L5630,I can't wear these clothes! This calls for dignity! I have to dress the part!,
u78,m5,L5630,It's a miracle!!!,
