speaker_id,movie_id,conversation_id,text,clean_text
u99,m5,L5760,I know...,
u99,m5,L5754,Let me reassure you Father..I will never kill more people in my entire life than religion has killed in the last 2000 years.,
u99,m5,L5754,"Father, by creating a little destruction, I am, in fact, encouraging life!  So, in reality, you and I are in the same business!",
u99,m5,L5751,"...Look at all these little things... so busy all of a sudden. Notice how each one is useful. What a lovely ballet, so full of form and color.  So full of..life!",
u99,m5,L5746,"Follow me.. Life, which you so nobly serve, comes from destruction. Look at this empty glass.",
u99,m5,L5746,...would you like a drink?,
u99,m5,L5737,"Ah, Father... You are so wrong. Let me explain...",
u99,m5,L5737,Why?  What's wrong with me?,
u99,m5,L5737,"Personally, they are of no interest to me, I'd rather sell weapons..but I have a customer... so tell me...",
u99,m5,L5737,"I'm glad you got your memory back, Father... Because you're going to need it... Where are the stones?",
u99,m5,L5737,Zorg. Jean-Baptiste Emmanuel Zorg... nice to see you again,
u99,m5,L5710,I'm fucked!,
u99,m5,L6219,I'm not at the hotel!,
u99,m5,L6219,Dispatch me another ZFX200 immediately. Someone stole mine.,
u99,m5,L6219,Who gives a shit! I didn't come here to listen to music! Listen up instead of running off at the mouth! The batteries on my phone are almost gone.,
u99,m5,L6219,How's that? Can you hear me better now?,
u99,m5,L6011,The Stones will be here. I'll see to it personally!,
u99,m5,L6006,"Fine, just fine!  I'll have the 4 pieces you asked for any time now.  But it wasn't easy. My costs have tripled.",
u99,m5,L6006,Got it.,
u99,m5,L6004,Really? Maybe I can get you on my screen and see you at last!,
u99,m5,L6002,No... not at all.  Where are you?,
